Hokkaido,M,76449 ,93500 ,102897 ,108947 ,117233 ,115631 ,121445 ,140523 ,157392 ,188506 ,184123 ,163186 ,161302 ,167527 ,198649 ,135762 ,100544 ,64049 ,26486 ,5484 ,542 
Hokkaido,F,72628 ,89193 ,98193 ,103873 ,110177 ,110459 ,119036 ,139195 ,158839 ,190564 ,191492 ,177493 ,174925 ,186224 ,237774 ,182211 ,155930 ,117082 ,66573 ,22437 ,3721 
Aomori,M,17648 ,22042 ,24321 ,26103 ,25570 ,24772 ,26548 ,32033 ,37158 ,43386 ,43383 ,40720 ,43330 ,45130 ,49973 ,33302 ,23520 ,15350 ,5693 ,1062 ,83 
Aomori,F,16625 ,21048 ,23177 ,25168 ,22793 ,21886 ,24710 ,31210 ,35774 ,42338 ,43849 ,42477 ,46175 ,49743 ,57998 ,43966 ,38828 ,32704 ,17716 ,5084 ,711 
Iwate,M,17129 ,22365 ,25004 ,26369 ,25324 ,24807 ,26919 ,31810 ,36705 ,42528 ,41157 ,38751 ,41576 ,43988 ,48134 ,32158 ,24294 ,16664 ,6987 ,1488 ,100 
Iwate,F,16331 ,21268 ,23732 ,24957 ,22982 ,21890 ,25064 ,30133 ,34630 ,40167 ,39467 ,38617 ,41711 ,45378 ,52595 ,39745 ,37870 ,32257 ,19059 ,6331 ,953 
Miyagi,M,37204 ,46331 ,49441 ,52280 ,58534 ,56646 ,59661 ,69476 ,77074 ,86301 ,81568 ,70224 ,69913 ,73319 ,82118 ,53897 ,39522 ,24881 ,10220 ,2208 ,182 
Miyagi,F,35549 ,43695 ,47356 ,49744 ,55426 ,53428 ,57364 ,67471 ,74812 ,83318 ,78893 ,70305 ,71922 ,76644 ,89836 ,63914 ,55152 ,45375 ,26265 ,8624 ,1308 
Akita,M,11658 ,15118 ,17695 ,19019 ,17339 ,16940 ,18685 ,23599 ,28135 ,32491 ,30701 ,29683 ,34031 ,37768 ,41940 ,27335 ,20522 ,14997 ,6107 ,1214 ,88 
Akita,F,11137 ,14479 ,17016 ,18056 ,15630 ,14845 ,17389 ,22425 ,26508 ,30812 ,30770 ,30633 ,35783 ,40453 ,47015 ,35058 ,33152 ,29888 ,18145 ,5537 ,779 
Yamagata,M,16082 ,19867 ,22386 ,23856 ,23083 ,21431 ,23440 ,28424 ,32358 ,35693 ,33718 ,32171 ,35882 ,38539 ,44465 ,28651 ,21663 ,15156 ,6566 ,1417 ,121 
Yamagata,F,15121 ,19006 ,21218 ,22483 ,20417 ,18882 ,22047 ,26779 ,30645 ,34113 ,33171 ,32816 ,36967 ,40034 ,46179 ,33174 ,31058 ,27962 ,17930 ,6054 ,896 
Fukushima,M,28289 ,36068 ,38402 ,42291 ,43134 ,41963 ,45543 ,52623 ,57084 ,65129 ,61789 ,58819 ,63975 ,67818 ,75032 ,46864 ,34739 ,22264 ,9670 ,2102 ,192 
Fukushima,F,27338 ,34665 ,35979 ,39909 ,38013 ,36328 ,40763 ,47780 ,52856 ,60283 ,59137 ,57575 ,63839 ,68548 ,78124 ,54310 ,49428 ,42654 ,26275 ,8980 ,1320 
Ibaraki,M,46668 ,58138 ,63779 ,67469 ,75783 ,75868 ,77875 ,87539 ,96013 ,112753 ,112366 ,93420 ,87842 ,94240 ,109313 ,80148 ,59291 ,31871 ,11896 ,2504 ,191 
Ibaraki,F,44647 ,54761 ,60088 ,63650 ,65715 ,62133 ,66070 ,78079 ,86836 ,102391 ,102979 ,88717 ,87210 ,96153 ,117924 ,91592 ,72823 ,51308 ,29905 ,10297 ,1560 
Tochigi,M,31628 ,39401 ,43035 ,45374 ,48546 ,49725 ,51852 ,59636 ,65648 ,76486 ,74170 ,62387 ,60398 ,64894 ,74673 ,51367 ,35824 ,20243 ,7996 ,1699 ,119 
Tochigi,F,29744 ,36965 ,40359 ,43027 ,43544 ,41298 ,45052 ,53445 ,59548 ,69796 ,68457 ,59805 ,59742 ,65649 ,78923 ,58744 ,46701 ,35048 ,20376 ,7040 ,1069 
Gunma,M,31585 ,37873 ,42788 ,46430 ,50980 ,49799 ,49898 ,54906 ,61868 ,74933 ,75224 ,62783 ,58304 ,61091 ,72632 ,54631 ,38814 ,22006 ,9034 ,1945 ,163 
Gunma,F,29896 ,36114 ,40512 ,43845 ,45332 ,42616 ,43687 ,50064 ,56973 ,70167 ,71053 ,60960 ,57361 ,62183 ,78758 ,63172 ,51516 ,37703 ,22234 ,7752 ,1254 
Saitama,M,128667 ,151731 ,160858 ,167417 ,195278 ,206206 ,211459 ,230017 ,254464 ,305932 ,315292 ,254444 ,210337 ,201827 ,244660 ,194864 ,145404 ,76236 ,23606 ,4268 ,347 
Saitama,F,122339 ,144322 ,152554 ,159350 ,186079 ,196092 ,194524 ,212065 ,234050 ,280444 ,289231 ,237577 ,202413 ,204986 ,271419 ,233083 ,185963 ,116793 ,54685 ,16902 ,2808 
Chiba,M,109064 ,127642 ,136728 ,142074 ,168841 ,175984 ,177318 ,196015 ,214208 ,255952 ,265101 ,214096 ,180329 ,174020 ,212859 ,169572 ,126064 ,68789 ,22960 ,4287 ,346 
Chiba,F,103932 ,121114 ,129100 ,135048 ,157907 ,163303 ,162767 ,180848 ,199211 ,236508 ,245542 ,200186 ,174111 ,179506 ,235256 ,202864 ,160813 ,106857 ,53362 ,16843 ,2745 
Tokyo,M,248677 ,276981 ,273763 ,274698 ,391714 ,488661 ,466990 ,489764 ,514871 ,568734 ,574845 ,486455 ,379587 ,317227 ,365460 ,283068 ,209717 ,127564 ,47723 ,9769 ,880 
Tokyo,F,236515 ,265579 ,259850 ,263326 ,390916 ,483960 ,454823 ,472942 ,496482 ,553296 ,562607 ,461070 ,366622 ,323329 ,401301 ,354554 ,307196 ,229058 ,117720 ,37097 ,6177 
Kanagawa,M,161369 ,187526 ,199164 ,208137 ,249508 ,272574 ,263490 ,287534 ,317486 ,379540 ,403568 ,341604 ,269859 ,233564 ,281814 ,222500 ,169000 ,96133 ,33631 ,6615 ,606 
Kanagawa,F,153606 ,178145 ,189695 ,196260 ,239347 ,252155 ,243655 ,267779 ,299107 ,359196 ,380118 ,312696 ,254649 ,236550 ,310617 ,269068 ,224255 ,153962 ,77512 ,24287 ,4105 
Niigata,M,33474 ,41629 ,46266 ,48533 ,49106 ,46856 ,50635 ,59916 ,67813 ,79323 ,76822 ,69438 ,70141 ,75631 ,88115 ,60117 ,44875 ,28715 ,12146 ,2700 ,256 
Niigata,F,32115 ,39387 ,43873 ,46045 ,44353 ,42381 ,47029 ,56037 ,64182 ,76245 ,73336 ,69308 ,69950 ,77775 ,95519 ,70908 ,62786 ,53258 ,32965 ,11765 ,2033 
Toyama,M,16731 ,19616 ,21657 ,23564 ,25822 ,25001 ,24748 ,27628 ,31447 ,40373 ,39580 ,31894 ,30227 ,31108 ,39649 ,31023 ,21483 ,12672 ,5082 ,1115 ,118 
Toyama,F,15722 ,18650 ,20347 ,22140 ,22759 ,21312 ,21480 ,25390 ,29338 ,37925 ,37988 ,31987 ,31193 ,33538 ,44609 ,37901 ,30349 ,24417 ,14788 ,5214 ,855 
Ishikawa,M,19662 ,23492 ,25013 ,27273 ,31044 ,27620 ,27533 ,30425 ,34256 ,43538 ,41282 ,34251 ,32434 ,32697 ,40497 ,31401 ,21221 ,12171 ,4870 ,1088 ,124 
Ishikawa,F,18705 ,22153 ,24085 ,25776 ,27450 ,25073 ,25944 ,29161 ,33224 ,41658 ,41045 ,35106 ,34256 ,35272 ,46223 ,37693 ,29627 ,23071 ,14161 ,4887 ,841 
Fukui,M,13678 ,16030 ,17790 ,18592 ,18956 ,18516 ,19031 ,21173 ,23155 ,27622 ,26797 ,23466 ,23708 ,23863 ,29323 ,19572 ,14550 ,9363 ,4059 ,869 ,74 
Fukui,F,13034 ,15104 ,16841 ,17632 ,17478 ,16392 ,17326 ,20177 ,22146 ,26396 ,26314 ,24162 ,24563 ,24966 ,31838 ,23338 ,20131 ,17098 ,10333 ,3653 ,582 
Yamanashi,M,13420 ,15683 ,17261 ,19467 ,21230 ,19956 ,19828 ,22041 ,24167 ,29068 ,30803 ,28180 ,26473 ,26818 ,30291 ,22126 ,16759 ,9974 ,4468 ,1080 ,121 
